year,price_usd_per_troy_oz,frequency,source,source_url,notes
1926,20.630,annual,DataHub core/gold-prices annual.csv,https://datahub.io/core/gold-prices/r/annual.csv,Annual observation from source file
1927,20.640,annual,DataHub core/gold-prices annual.csv,https://datahub.io/core/gold-prices/r/annual.csv,Annual observation from source file
1928,20.660,annual,DataHub core/gold-prices annual.csv,https://datahub.io/core/gold-prices/r/annual.csv,Annual observation from source file
1929,20.630,annual,DataHub core/gold-prices annual.csv,https://datahub.io/core/gold-prices/r/annual.csv,Annual observation from source file
1930,20.650,annual,DataHub core/gold-prices annual.csv,https://datahub.io/core/gold-prices/r/annual.csv,Annual observation from source file
1931,17.060,annual,DataHub core/gold-prices annual.csv,https://datahub.io/core/gold-prices/r/annual.csv,Annual observation from source file
1932,20.690,annual,DataHub core/gold-prices annual.csv,https://datahub.io/core/gold-prices/r/annual.csv,Annual observation from source file
1933,26.330,annual,DataHub core/gold-prices annual.csv,https://datahub.io/core/gold-prices/r/annual.csv,Annual observation from source file
1934,34.690,annual,DataHub core/gold-prices annual.csv,https://datahub.io/core/gold-prices/r/annual.csv,Annual observation from source file
1935,34.840,annual,DataHub core/gold-prices annual.csv,https://datahub.io/core/gold-prices/r/annual.csv,Annual observation from source file
1936,34.870,annual,DataHub core/gold-prices annual.csv,https://datahub.io/core/gold-prices/r/annual.csv,Annual observation from source file
1937,34.790,annual,DataHub core/gold-prices annual.csv,https://datahub.io/core/gold-prices/r/annual.csv,Annual observation from source file
1938,34.850,annual,DataHub core/gold-prices annual.csv,https://datahub.io/core/gold-prices/r/annual.csv,Annual observation from source file
1939,34.420,annual,DataHub core/gold-prices annual.csv,https://datahub.io/core/gold-prices/r/annual.csv,Annual observation from source file
1940,33.850,annual,DataHub core/gold-prices annual.csv,https://datahub.io/core/gold-prices/r/annual.csv,Annual observation from source file
1941,33.850,annual,DataHub core/gold-prices annual.csv,https://datahub.io/core/gold-prices/r/annual.csv,Annual observation from source file
1942,33.850,annual,DataHub core/gold-prices annual.csv,https://datahub.io/core/gold-prices/r/annual.csv,Annual observation from source file
1943,33.850,annual,DataHub core/gold-prices annual.csv,https://datahub.io/core/gold-prices/r/annual.csv,Annual observation from source file
1944,33.850,annual,DataHub core/gold-prices annual.csv,https://datahub.io/core/gold-prices/r/annual.csv,Annual observation from source file
1945,34.710,annual,DataHub core/gold-prices annual.csv,https://datahub.io/core/gold-prices/r/annual.csv,Annual observation from source file
1946,34.710,annual,DataHub core/gold-prices annual.csv,https://datahub.io/core/gold-prices/r/annual.csv,Annual observation from source file
1947,34.710,annual,DataHub core/gold-prices annual.csv,https://datahub.io/core/gold-prices/r/annual.csv,Annual observation from source file
1948,34.710,annual,DataHub core/gold-prices annual.csv,https://datahub.io/core/gold-prices/r/annual.csv,Annual observation from source file
1949,31.690,annual,DataHub core/gold-prices annual.csv,https://datahub.io/core/gold-prices/r/annual.csv,Annual observation from source file
1950,34.720,annual,DataHub core/gold-prices annual.csv,https://datahub.io/core/gold-prices/r/annual.csv,Annual observation from source file
1951,34.720,annual,DataHub core/gold-prices annual.csv,https://datahub.io/core/gold-prices/r/annual.csv,Annual observation from source file
1952,34.600,annual,DataHub core/gold-prices annual.csv,https://datahub.io/core/gold-prices/r/annual.csv,Annual observation from source file
1953,34.840,annual,DataHub core/gold-prices annual.csv,https://datahub.io/core/gold-prices/r/annual.csv,Annual observation from source file
1954,35.040,annual,DataHub core/gold-prices annual.csv,https://datahub.io/core/gold-prices/r/annual.csv,Annual observation from source file
1955,35.030,annual,DataHub core/gold-prices annual.csv,https://datahub.io/core/gold-prices/r/annual.csv,Annual observation from source file
1956,34.990,annual,DataHub core/gold-prices annual.csv,https://datahub.io/core/gold-prices/r/annual.csv,Annual observation from source file
1957,34.950,annual,DataHub core/gold-prices annual.csv,https://datahub.io/core/gold-prices/r/annual.csv,Annual observation from source file
1958,35.100,annual,DataHub core/gold-prices annual.csv,https://datahub.io/core/gold-prices/r/annual.csv,Annual observation from source file
1959,35.100,annual,DataHub core/gold-prices annual.csv,https://datahub.io/core/gold-prices/r/annual.csv,Annual observation from source file
1960,35.270,annual,DataHub core/gold-prices monthly.csv,https://datahub.io/core/gold-prices/r/monthly.csv,Annual average calculated from 12 monthly observations
1961,35.250,annual,DataHub core/gold-prices annual.csv,https://datahub.io/core/gold-prices/r/annual.csv,Annual observation from source file
1962,35.230,annual,DataHub core/gold-prices annual.csv,https://datahub.io/core/gold-prices/r/annual.csv,Annual observation from source file
