year,index_level,frequency,source,source_url,notes
2005,923.45,annual,Eastmoney historical daily kline,https://quote.eastmoney.com/,沪深300 year-end close from last trading day 2005-12-30
2006,2041.05,annual,Eastmoney historical daily kline,https://quote.eastmoney.com/,沪深300 year-end close from last trading day 2006-12-29
2007,5338.27,annual,Eastmoney historical daily kline,https://quote.eastmoney.com/,沪深300 year-end close from last trading day 2007-12-28
2008,1817.72,annual,Eastmoney historical daily kline,https://quote.eastmoney.com/,沪深300 year-end close from last trading day 2008-12-31
2009,3575.68,annual,Eastmoney historical daily kline,https://quote.eastmoney.com/,沪深300 year-end close from last trading day 2009-12-31
2010,3128.26,annual,Eastmoney historical daily kline,https://quote.eastmoney.com/,沪深300 year-end close from last trading day 2010-12-31
2011,2345.74,annual,Eastmoney historical daily kline,https://quote.eastmoney.com/,沪深300 year-end close from last trading day 2011-12-30
2012,2522.95,annual,Eastmoney historical daily kline,https://quote.eastmoney.com/,沪深300 year-end close from last trading day 2012-12-31
2013,2330.03,annual,Eastmoney historical daily kline,https://quote.eastmoney.com/,沪深300 year-end close from last trading day 2013-12-31
2014,3533.71,annual,Eastmoney historical daily kline,https://quote.eastmoney.com/,沪深300 year-end close from last trading day 2014-12-31
2015,3731.00,annual,Eastmoney historical daily kline,https://quote.eastmoney.com/,沪深300 year-end close from last trading day 2015-12-31
2016,3310.08,annual,Eastmoney historical daily kline,https://quote.eastmoney.com/,沪深300 year-end close from last trading day 2016-12-30
2017,4030.85,annual,Eastmoney historical daily kline,https://quote.eastmoney.com/,沪深300 year-end close from last trading day 2017-12-29
2018,3010.65,annual,Eastmoney historical daily kline,https://quote.eastmoney.com/,沪深300 year-end close from last trading day 2018-12-28
2019,4096.58,annual,Eastmoney historical daily kline,https://quote.eastmoney.com/,沪深300 year-end close from last trading day 2019-12-31
2020,5211.29,annual,Eastmoney historical daily kline,https://quote.eastmoney.com/,沪深300 year-end close from last trading day 2020-12-31
2021,4940.37,annual,Eastmoney historical daily kline,https://quote.eastmoney.com/,沪深300 year-end close from last trading day 2021-12-31
2022,3871.63,annual,Eastmoney historical daily kline,https://quote.eastmoney.com/,沪深300 year-end close from last trading day 2022-12-30
2023,3431.11,annual,Eastmoney historical daily kline,https://quote.eastmoney.com/,沪深300 year-end close from last trading day 2023-12-29
2024,3934.91,annual,Eastmoney historical daily kline,https://quote.eastmoney.com/,沪深300 year-end close from last trading day 2024-12-31
2025,4629.94,annual,Eastmoney historical daily kline,https://quote.eastmoney.com/,沪深300 year-end close from last trading day 2025-12-31
