year_month,index_level,frequency,source,source_url,notes
2005-01,954.88,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2005-02,1039.99,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2005-03,942.20,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2005-04,932.40,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2005-05,855.95,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2005-06,878.69,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2005-07,888.16,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2005-08,927.92,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2005-09,917.39,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2005-10,876.28,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2005-11,873.83,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2005-12,923.45,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2006-01,1009.60,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2006-02,1053.01,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2006-03,1061.09,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2006-04,1172.35,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2006-05,1365.45,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2006-06,1393.96,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2006-07,1294.33,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2006-08,1338.69,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2006-09,1403.27,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2006-10,1464.47,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2006-11,1714.36,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2006-12,2041.05,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2007-01,2385.33,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2007-02,2544.57,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2007-03,2781.78,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2007-04,3558.71,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2007-05,3927.95,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2007-06,3764.08,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2007-07,4460.56,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
