year,index_level,frequency,source,source_url,notes
1926,12.587,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
1927,15.343,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
1928,19.953,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
1929,26.018,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
1930,21.027,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
1931,13.659,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
1932,6.928,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
1933,8.958,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
1934,9.844,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
1935,10.599,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
1936,15.468,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
1937,15.406,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
1938,11.488,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
1939,12.062,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
1940,11.021,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
1941,9.824,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
1942,8.673,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
1943,11.504,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
1944,12.468,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
1945,15.156,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
1946,17.081,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
1947,15.166,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
1948,15.532,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
1949,15.230,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
1950,18.400,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
1951,22.335,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
1952,24.498,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
1953,24.732,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
1954,29.689,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
1955,40.493,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
1956,46.623,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
1957,44.380,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
1958,46.238,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
1959,57.379,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
1960,55.850,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
1961,66.272,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
1962,62.383,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
1963,69.865,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
1964,81.368,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
1965,88.170,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
1966,85.257,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
1967,91.928,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
1968,98.694,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
1969,97.840,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
1970,83.220,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
1971,98.283,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
1972,109.208,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
1973,107.423,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
