year_month,index_level,frequency,source,source_url,notes
1871-01,4.440,monthly,DataHub / Robert Shiller S&P Composite,https://raw.githubusercontent.com/datasets/s-and-p-500/main/data/data.csv,"S&P Composite price-return index, beginning-of-month observation (Robert Shiller / DataHub); pre-1926 uses Cowles Commission stock-price index extended to 1871; dividends excluded (not total-return)"
1871-02,4.500,monthly,DataHub / Robert Shiller S&P Composite,https://raw.githubusercontent.com/datasets/s-and-p-500/main/data/data.csv,"S&P Composite price-return index, beginning-of-month observation (Robert Shiller / DataHub); pre-1926 uses Cowles Commission stock-price index extended to 1871; dividends excluded (not total-return)"
1871-03,4.610,monthly,DataHub / Robert Shiller S&P Composite,https://raw.githubusercontent.com/datasets/s-and-p-500/main/data/data.csv,"S&P Composite price-return index, beginning-of-month observation (Robert Shiller / DataHub); pre-1926 uses Cowles Commission stock-price index extended to 1871; dividends excluded (not total-return)"
1871-04,4.740,monthly,DataHub / Robert Shiller S&P Composite,https://raw.githubusercontent.com/datasets/s-and-p-500/main/data/data.csv,"S&P Composite price-return index, beginning-of-month observation (Robert Shiller / DataHub); pre-1926 uses Cowles Commission stock-price index extended to 1871; dividends excluded (not total-return)"
1871-05,4.860,monthly,DataHub / Robert Shiller S&P Composite,https://raw.githubusercontent.com/datasets/s-and-p-500/main/data/data.csv,"S&P Composite price-return index, beginning-of-month observation (Robert Shiller / DataHub); pre-1926 uses Cowles Commission stock-price index extended to 1871; dividends excluded (not total-return)"
1871-06,4.820,monthly,DataHub / Robert Shiller S&P Composite,https://raw.githubusercontent.com/datasets/s-and-p-500/main/data/data.csv,"S&P Composite price-return index, beginning-of-month observation (Robert Shiller / DataHub); pre-1926 uses Cowles Commission stock-price index extended to 1871; dividends excluded (not total-return)"
1871-07,4.730,monthly,DataHub / Robert Shiller S&P Composite,https://raw.githubusercontent.com/datasets/s-and-p-500/main/data/data.csv,"S&P Composite price-return index, beginning-of-month observation (Robert Shiller / DataHub); pre-1926 uses Cowles Commission stock-price index extended to 1871; dividends excluded (not total-return)"
1871-08,4.790,monthly,DataHub / Robert Shiller S&P Composite,https://raw.githubusercontent.com/datasets/s-and-p-500/main/data/data.csv,"S&P Composite price-return index, beginning-of-month observation (Robert Shiller / DataHub); pre-1926 uses Cowles Commission stock-price index extended to 1871; dividends excluded (not total-return)"
1871-09,4.840,monthly,DataHub / Robert Shiller S&P Composite,https://raw.githubusercontent.com/datasets/s-and-p-500/main/data/data.csv,"S&P Composite price-return index, beginning-of-month observation (Robert Shiller / DataHub); pre-1926 uses Cowles Commission stock-price index extended to 1871; dividends excluded (not total-return)"
1871-10,4.590,monthly,DataHub / Robert Shiller S&P Composite,https://raw.githubusercontent.com/datasets/s-and-p-500/main/data/data.csv,"S&P Composite price-return index, beginning-of-month observation (Robert Shiller / DataHub); pre-1926 uses Cowles Commission stock-price index extended to 1871; dividends excluded (not total-return)"
1871-11,4.640,monthly,DataHub / Robert Shiller S&P Composite,https://raw.githubusercontent.com/datasets/s-and-p-500/main/data/data.csv,"S&P Composite price-return index, beginning-of-month observation (Robert Shiller / DataHub); pre-1926 uses Cowles Commission stock-price index extended to 1871; dividends excluded (not total-return)"
1871-12,4.740,monthly,DataHub / Robert Shiller S&P Composite,https://raw.githubusercontent.com/datasets/s-and-p-500/main/data/data.csv,"S&P Composite price-return index, beginning-of-month observation (Robert Shiller / DataHub); pre-1926 uses Cowles Commission stock-price index extended to 1871; dividends excluded (not total-return)"
1872-01,4.860,monthly,DataHub / Robert Shiller S&P Composite,https://raw.githubusercontent.com/datasets/s-and-p-500/main/data/data.csv,"S&P Composite price-return index, beginning-of-month observation (Robert Shiller / DataHub); pre-1926 uses Cowles Commission stock-price index extended to 1871; dividends excluded (not total-return)"
1872-02,4.880,monthly,DataHub / Robert Shiller S&P Composite,https://raw.githubusercontent.com/datasets/s-and-p-500/main/data/data.csv,"S&P Composite price-return index, beginning-of-month observation (Robert Shiller / DataHub); pre-1926 uses Cowles Commission stock-price index extended to 1871; dividends excluded (not total-return)"
1872-03,5.040,monthly,DataHub / Robert Shiller S&P Composite,https://raw.githubusercontent.com/datasets/s-and-p-500/main/data/data.csv,"S&P Composite price-return index, beginning-of-month observation (Robert Shiller / DataHub); pre-1926 uses Cowles Commission stock-price index extended to 1871; dividends excluded (not total-return)"
1872-04,5.180,monthly,DataHub / Robert Shiller S&P Composite,https://raw.githubusercontent.com/datasets/s-and-p-500/main/data/data.csv,"S&P Composite price-return index, beginning-of-month observation (Robert Shiller / DataHub); pre-1926 uses Cowles Commission stock-price index extended to 1871; dividends excluded (not total-return)"
1872-05,5.180,monthly,DataHub / Robert Shiller S&P Composite,https://raw.githubusercontent.com/datasets/s-and-p-500/main/data/data.csv,"S&P Composite price-return index, beginning-of-month observation (Robert Shiller / DataHub); pre-1926 uses Cowles Commission stock-price index extended to 1871; dividends excluded (not total-return)"
1872-06,5.130,monthly,DataHub / Robert Shiller S&P Composite,https://raw.githubusercontent.com/datasets/s-and-p-500/main/data/data.csv,"S&P Composite price-return index, beginning-of-month observation (Robert Shiller / DataHub); pre-1926 uses Cowles Commission stock-price index extended to 1871; dividends excluded (not total-return)"
1872-07,5.100,monthly,DataHub / Robert Shiller S&P Composite,https://raw.githubusercontent.com/datasets/s-and-p-500/main/data/data.csv,"S&P Composite price-return index, beginning-of-month observation (Robert Shiller / DataHub); pre-1926 uses Cowles Commission stock-price index extended to 1871; dividends excluded (not total-return)"
1872-08,5.040,monthly,DataHub / Robert Shiller S&P Composite,https://raw.githubusercontent.com/datasets/s-and-p-500/main/data/data.csv,"S&P Composite price-return index, beginning-of-month observation (Robert Shiller / DataHub); pre-1926 uses Cowles Commission stock-price index extended to 1871; dividends excluded (not total-return)"
1872-09,4.950,monthly,DataHub / Robert Shiller S&P Composite,https://raw.githubusercontent.com/datasets/s-and-p-500/main/data/data.csv,"S&P Composite price-return index, beginning-of-month observation (Robert Shiller / DataHub); pre-1926 uses Cowles Commission stock-price index extended to 1871; dividends excluded (not total-return)"
1872-10,4.970,monthly,DataHub / Robert Shiller S&P Composite,https://raw.githubusercontent.com/datasets/s-and-p-500/main/data/data.csv,"S&P Composite price-return index, beginning-of-month observation (Robert Shiller / DataHub); pre-1926 uses Cowles Commission stock-price index extended to 1871; dividends excluded (not total-return)"
1872-11,4.950,monthly,DataHub / Robert Shiller S&P Composite,https://raw.githubusercontent.com/datasets/s-and-p-500/main/data/data.csv,"S&P Composite price-return index, beginning-of-month observation (Robert Shiller / DataHub); pre-1926 uses Cowles Commission stock-price index extended to 1871; dividends excluded (not total-return)"
1872-12,5.070,monthly,DataHub / Robert Shiller S&P Composite,https://raw.githubusercontent.com/datasets/s-and-p-500/main/data/data.csv,"S&P Composite price-return index, beginning-of-month observation (Robert Shiller / DataHub); pre-1926 uses Cowles Commission stock-price index extended to 1871; dividends excluded (not total-return)"
1873-01,5.110,monthly,DataHub / Robert Shiller S&P Composite,https://raw.githubusercontent.com/datasets/s-and-p-500/main/data/data.csv,"S&P Composite price-return index, beginning-of-month observation (Robert Shiller / DataHub); pre-1926 uses Cowles Commission stock-price index extended to 1871; dividends excluded (not total-return)"
1873-02,5.150,monthly,DataHub / Robert Shiller S&P Composite,https://raw.githubusercontent.com/datasets/s-and-p-500/main/data/data.csv,"S&P Composite price-return index, beginning-of-month observation (Robert Shiller / DataHub); pre-1926 uses Cowles Commission stock-price index extended to 1871; dividends excluded (not total-return)"
