year,index_level,frequency,source,source_url,notes
1990,127.61,annual,Eastmoney historical daily kline,https://quote.eastmoney.com/,上证指数 year-end close from last trading day 1990-12-31
1991,292.75,annual,Eastmoney historical daily kline,https://quote.eastmoney.com/,上证指数 year-end close from last trading day 1991-12-31
1992,780.39,annual,Eastmoney historical daily kline,https://quote.eastmoney.com/,上证指数 year-end close from last trading day 1992-12-31
1993,833.80,annual,Eastmoney historical daily kline,https://quote.eastmoney.com/,上证指数 year-end close from last trading day 1993-12-31
1994,647.87,annual,Eastmoney historical daily kline,https://quote.eastmoney.com/,上证指数 year-end close from last trading day 1994-12-30
1995,555.29,annual,Eastmoney historical daily kline,https://quote.eastmoney.com/,上证指数 year-end close from last trading day 1995-12-29
1996,917.01,annual,Eastmoney historical daily kline,https://quote.eastmoney.com/,上证指数 year-end close from last trading day 1996-12-31
1997,1194.10,annual,Eastmoney historical daily kline,https://quote.eastmoney.com/,上证指数 year-end close from last trading day 1997-12-31
1998,1146.70,annual,Eastmoney historical daily kline,https://quote.eastmoney.com/,上证指数 year-end close from last trading day 1998-12-31
1999,1366.58,annual,Eastmoney historical daily kline,https://quote.eastmoney.com/,上证指数 year-end close from last trading day 1999-12-30
2000,2073.47,annual,Eastmoney historical daily kline,https://quote.eastmoney.com/,上证指数 year-end close from last trading day 2000-12-29
2001,1645.97,annual,Eastmoney historical daily kline,https://quote.eastmoney.com/,上证指数 year-end close from last trading day 2001-12-31
2002,1357.65,annual,Eastmoney historical daily kline,https://quote.eastmoney.com/,上证指数 year-end close from last trading day 2002-12-31
2003,1497.04,annual,Eastmoney historical daily kline,https://quote.eastmoney.com/,上证指数 year-end close from last trading day 2003-12-31
2004,1266.50,annual,Eastmoney historical daily kline,https://quote.eastmoney.com/,上证指数 year-end close from last trading day 2004-12-31
2005,1161.06,annual,Eastmoney historical daily kline,https://quote.eastmoney.com/,上证指数 year-end close from last trading day 2005-12-30
2006,2675.47,annual,Eastmoney historical daily kline,https://quote.eastmoney.com/,上证指数 year-end close from last trading day 2006-12-29
2007,5261.56,annual,Eastmoney historical daily kline,https://quote.eastmoney.com/,上证指数 year-end close from last trading day 2007-12-28
2008,1820.81,annual,Eastmoney historical daily kline,https://quote.eastmoney.com/,上证指数 year-end close from last trading day 2008-12-31
2009,3277.14,annual,Eastmoney historical daily kline,https://quote.eastmoney.com/,上证指数 year-end close from last trading day 2009-12-31
2010,2808.08,annual,Eastmoney historical daily kline,https://quote.eastmoney.com/,上证指数 year-end close from last trading day 2010-12-31
2011,2199.42,annual,Eastmoney historical daily kline,https://quote.eastmoney.com/,上证指数 year-end close from last trading day 2011-12-30
2012,2269.13,annual,Eastmoney historical daily kline,https://quote.eastmoney.com/,上证指数 year-end close from last trading day 2012-12-31
2013,2115.98,annual,Eastmoney historical daily kline,https://quote.eastmoney.com/,上证指数 year-end close from last trading day 2013-12-31
2014,3234.68,annual,Eastmoney historical daily kline,https://quote.eastmoney.com/,上证指数 year-end close from last trading day 2014-12-31
2015,3539.18,annual,Eastmoney historical daily kline,https://quote.eastmoney.com/,上证指数 year-end close from last trading day 2015-12-31
2016,3103.64,annual,Eastmoney historical daily kline,https://quote.eastmoney.com/,上证指数 year-end close from last trading day 2016-12-30
2017,3307.17,annual,Eastmoney historical daily kline,https://quote.eastmoney.com/,上证指数 year-end close from last trading day 2017-12-29
2018,2493.90,annual,Eastmoney historical daily kline,https://quote.eastmoney.com/,上证指数 year-end close from last trading day 2018-12-28
2019,3050.12,annual,Eastmoney historical daily kline,https://quote.eastmoney.com/,上证指数 year-end close from last trading day 2019-12-31
2020,3473.07,annual,Eastmoney historical daily kline,https://quote.eastmoney.com/,上证指数 year-end close from last trading day 2020-12-31
2021,3639.78,annual,Eastmoney historical daily kline,https://quote.eastmoney.com/,上证指数 year-end close from last trading day 2021-12-31
2022,3089.26,annual,Eastmoney historical daily kline,https://quote.eastmoney.com/,上证指数 year-end close from last trading day 2022-12-30
2023,2974.93,annual,Eastmoney historical daily kline,https://quote.eastmoney.com/,上证指数 year-end close from last trading day 2023-12-29
2024,3351.76,annual,Eastmoney historical daily kline,https://quote.eastmoney.com/,上证指数 year-end close from last trading day 2024-12-31
2025,3968.84,annual,Eastmoney historical daily kline,https://quote.eastmoney.com/,上证指数 year-end close from last trading day 2025-12-31
