year_month,index_level,frequency,source,source_url,notes
1990-12,127.61,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"SSE Composite (上证综合指数) monthly close, last trading day of each month; unadjusted (fqt=0); SSE opened Dec 1990 so data begins 1990-12; source: Eastmoney kline API secid=1.000001 klt=103"
1991-01,129.97,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"SSE Composite (上证综合指数) monthly close, last trading day of each month; unadjusted (fqt=0); SSE opened Dec 1990 so data begins 1990-12; source: Eastmoney kline API secid=1.000001 klt=103"
1991-02,133.01,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"SSE Composite (上证综合指数) monthly close, last trading day of each month; unadjusted (fqt=0); SSE opened Dec 1990 so data begins 1990-12; source: Eastmoney kline API secid=1.000001 klt=103"
1991-03,120.19,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"SSE Composite (上证综合指数) monthly close, last trading day of each month; unadjusted (fqt=0); SSE opened Dec 1990 so data begins 1990-12; source: Eastmoney kline API secid=1.000001 klt=103"
1991-04,113.94,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"SSE Composite (上证综合指数) monthly close, last trading day of each month; unadjusted (fqt=0); SSE opened Dec 1990 so data begins 1990-12; source: Eastmoney kline API secid=1.000001 klt=103"
1991-05,114.83,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"SSE Composite (上证综合指数) monthly close, last trading day of each month; unadjusted (fqt=0); SSE opened Dec 1990 so data begins 1990-12; source: Eastmoney kline API secid=1.000001 klt=103"
1991-06,137.56,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"SSE Composite (上证综合指数) monthly close, last trading day of each month; unadjusted (fqt=0); SSE opened Dec 1990 so data begins 1990-12; source: Eastmoney kline API secid=1.000001 klt=103"
1991-07,143.80,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"SSE Composite (上证综合指数) monthly close, last trading day of each month; unadjusted (fqt=0); SSE opened Dec 1990 so data begins 1990-12; source: Eastmoney kline API secid=1.000001 klt=103"
1991-08,178.43,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"SSE Composite (上证综合指数) monthly close, last trading day of each month; unadjusted (fqt=0); SSE opened Dec 1990 so data begins 1990-12; source: Eastmoney kline API secid=1.000001 klt=103"
1991-09,180.92,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"SSE Composite (上证综合指数) monthly close, last trading day of each month; unadjusted (fqt=0); SSE opened Dec 1990 so data begins 1990-12; source: Eastmoney kline API secid=1.000001 klt=103"
1991-10,218.60,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"SSE Composite (上证综合指数) monthly close, last trading day of each month; unadjusted (fqt=0); SSE opened Dec 1990 so data begins 1990-12; source: Eastmoney kline API secid=1.000001 klt=103"
1991-11,259.60,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"SSE Composite (上证综合指数) monthly close, last trading day of each month; unadjusted (fqt=0); SSE opened Dec 1990 so data begins 1990-12; source: Eastmoney kline API secid=1.000001 klt=103"
1991-12,292.75,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"SSE Composite (上证综合指数) monthly close, last trading day of each month; unadjusted (fqt=0); SSE opened Dec 1990 so data begins 1990-12; source: Eastmoney kline API secid=1.000001 klt=103"
1992-01,313.24,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"SSE Composite (上证综合指数) monthly close, last trading day of each month; unadjusted (fqt=0); SSE opened Dec 1990 so data begins 1990-12; source: Eastmoney kline API secid=1.000001 klt=103"
1992-02,364.66,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"SSE Composite (上证综合指数) monthly close, last trading day of each month; unadjusted (fqt=0); SSE opened Dec 1990 so data begins 1990-12; source: Eastmoney kline API secid=1.000001 klt=103"
1992-03,381.24,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"SSE Composite (上证综合指数) monthly close, last trading day of each month; unadjusted (fqt=0); SSE opened Dec 1990 so data begins 1990-12; source: Eastmoney kline API secid=1.000001 klt=103"
1992-04,445.38,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"SSE Composite (上证综合指数) monthly close, last trading day of each month; unadjusted (fqt=0); SSE opened Dec 1990 so data begins 1990-12; source: Eastmoney kline API secid=1.000001 klt=103"
1992-05,1234.71,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"SSE Composite (上证综合指数) monthly close, last trading day of each month; unadjusted (fqt=0); SSE opened Dec 1990 so data begins 1990-12; source: Eastmoney kline API secid=1.000001 klt=103"
1992-06,1191.19,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"SSE Composite (上证综合指数) monthly close, last trading day of each month; unadjusted (fqt=0); SSE opened Dec 1990 so data begins 1990-12; source: Eastmoney kline API secid=1.000001 klt=103"
1992-07,1052.07,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"SSE Composite (上证综合指数) monthly close, last trading day of each month; unadjusted (fqt=0); SSE opened Dec 1990 so data begins 1990-12; source: Eastmoney kline API secid=1.000001 klt=103"
1992-08,823.27,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"SSE Composite (上证综合指数) monthly close, last trading day of each month; unadjusted (fqt=0); SSE opened Dec 1990 so data begins 1990-12; source: Eastmoney kline API secid=1.000001 klt=103"
1992-09,702.32,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"SSE Composite (上证综合指数) monthly close, last trading day of each month; unadjusted (fqt=0); SSE opened Dec 1990 so data begins 1990-12; source: Eastmoney kline API secid=1.000001 klt=103"
1992-10,507.25,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"SSE Composite (上证综合指数) monthly close, last trading day of each month; unadjusted (fqt=0); SSE opened Dec 1990 so data begins 1990-12; source: Eastmoney kline API secid=1.000001 klt=103"
1992-11,724.60,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"SSE Composite (上证综合指数) monthly close, last trading day of each month; unadjusted (fqt=0); SSE opened Dec 1990 so data begins 1990-12; source: Eastmoney kline API secid=1.000001 klt=103"
1992-12,780.39,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"SSE Composite (上证综合指数) monthly close, last trading day of each month; unadjusted (fqt=0); SSE opened Dec 1990 so data begins 1990-12; source: Eastmoney kline API secid=1.000001 klt=103"
1993-01,1198.48,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"SSE Composite (上证综合指数) monthly close, last trading day of each month; unadjusted (fqt=0); SSE opened Dec 1990 so data begins 1990-12; source: Eastmoney kline API secid=1.000001 klt=103"
1993-02,1339.88,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"SSE Composite (上证综合指数) monthly close, last trading day of each month; unadjusted (fqt=0); SSE opened Dec 1990 so data begins 1990-12; source: Eastmoney kline API secid=1.000001 klt=103"
1993-03,925.91,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"SSE Composite (上证综合指数) monthly close, last trading day of each month; unadjusted (fqt=0); SSE opened Dec 1990 so data begins 1990-12; source: Eastmoney kline API secid=1.000001 klt=103"
1993-04,1358.78,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"SSE Composite (上证综合指数) monthly close, last trading day of each month; unadjusted (fqt=0); SSE opened Dec 1990 so data begins 1990-12; source: Eastmoney kline API secid=1.000001 klt=103"
1993-05,935.48,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"SSE Composite (上证综合指数) monthly close, last trading day of each month; unadjusted (fqt=0); SSE opened Dec 1990 so data begins 1990-12; source: Eastmoney kline API secid=1.000001 klt=103"
1993-06,1007.05,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"SSE Composite (上证综合指数) monthly close, last trading day of each month; unadjusted (fqt=0); SSE opened Dec 1990 so data begins 1990-12; source: Eastmoney kline API secid=1.000001 klt=103"
1993-07,881.07,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"SSE Composite (上证综合指数) monthly close, last trading day of each month; unadjusted (fqt=0); SSE opened Dec 1990 so data begins 1990-12; source: Eastmoney kline API secid=1.000001 klt=103"
